Thursday,,,Friday,,
Location,Category,Product,Location,Category,Product
418: West Covina,137: Cocktails - 379: Seasonal,,418: West Covina,137: Cocktails - 379: Seasonal,4011: Patron Margarita Tree
436: Roseville,137: Cocktails - 379: Seasonal,,436: Roseville,137: Cocktails - 379: Seasonal,4011: Patron Margarita Tree
438: Laguna Hills,137: Cocktails - 379: Seasonal,,438: Laguna Hills,137: Cocktails - 379: Seasonal,3977: Glittery Goose Sangria
443: San Mateo,137: Cocktails - 379: Seasonal,,443: San Mateo,137: Cocktails - 379: Seasonal,3977: Glittery Goose Sangria
474: Kissimmee,137: Cocktails - 379: Seasonal,,474: Kissimmee,137: Cocktails - 379: Seasonal,4011: Patron Margarita Tree
479: Southcenter Mall,11: Desserts,171: BJ's Handcrafted Root Beer Float,479: Southcenter Mall,11: Desserts,
479: Southcenter Mall,11: Desserts,,479: Southcenter Mall,11: Desserts,741: BJ's Handcrafted Root Beer Float
479: Southcenter Mall,234: Pizookies & Other Desserts,171: BJ's Handcrafted Root Beer Float,479: Southcenter Mall,234: Pizookies & Other Desserts,
479: Southcenter Mall,234: Pizookies & Other Desserts,,479: Southcenter Mall,234: Pizookies & Other Desserts,741: BJ's Handcrafted Root Beer Float
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,169: BJ's Handcrafted Root Beer,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,863: BJ's Handcrafted Root Beer,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,613: BJ's Handcrafted Root Beer
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 189: BJ's Sodas,858: BJ's Handcrafted Root Beer
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 188: 64 Ounce Beverages,2504: BJ's Handcrafted Root Beer 64 oz,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 188: 64 Ounce Beverages,
479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 188: 64 Ounce Beverages,,479: Southcenter Mall,187: Non-Alcoholic Beverages To Go - 188: 64 Ounce Beverages,2506: BJ's Handcrafted Root Beer 64 oz
479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,169: BJ's Handcrafted Root Beer,479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,
479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,863: BJ's Handcrafted Root Beer,479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,
479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,,479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,613: BJ's Handcrafted Root Beer
479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,,479: Southcenter Mall,1: Beverages - 13: BJ's Sodas,858: BJ's Handcrafted Root Beer
484: Newark,137: Cocktails - 379: Seasonal,,484: Newark,137: Cocktails - 379: Seasonal,4011: Patron Margarita Tree
501: Tucson Broadway,137: Cocktails - 379: Seasonal,,501: Tucson Broadway,137: Cocktails - 379: Seasonal,4011: Patron Margarita Tree
612: North Attleboro,137: Cocktails - 379: Seasonal,,612: North Attleboro,137: Cocktails - 379: Seasonal,3977: Glittery Goose Sangria
617: Manchester,Missing key Restaurant:getCateringCategory:617:230,,617: Manchester,Missing key Restaurant:getCateringCategory:617:230,
629: Orland Park,137: Cocktails - 379: Seasonal,,629: Orland Park,137: Cocktails - 379: Seasonal,3977: Glittery Goose Sangria
